seqname	source	feature	start	end	score	strand	frame	gene_id	transcript_id
2	Ensembl	gene	25236936	25237005	.	-	0	ENSG00000119772	ENST00000380746
2	Ensembl	gene	25235707	25235825	.	-	2	ENSG00000119772	ENST00000380746
2	Ensembl	gene	25232976	25234420	.	-	.	ENSG00000119772	ENST00000380746
2	Ensembl	gene	25341826	25341885	.	-	.	ENSG00000119772	ENST00000321117
2	Ensembl	gene	25313913	25314161	.	-	0	ENSG00000119772	ENST00000321117
2	Ensembl	gene	25300139	25300243	.	-	0	ENSG00000119772	ENST00000321117
2	Ensembl	gene	25282441	25282711	.	-	1	ENSG00000119772	ENST00000321117
2	Ensembl	gene	25275500	25275543	.	-	0	ENSG00000119772	ENST00000321117
2	Ensembl	gene	25274941	25275087	.	-	0	ENSG00000119772	ENST00000321117
2	Ensembl	gene	25248037	25248252	.	-	0	ENSG00000119772	ENST00000321117
2	Ensembl	gene	25247591	25247749	.	-	0	ENSG00000119772	ENST00000321117
2	Ensembl	gene	25247051	25247158	.	-	0	ENSG00000119772	ENST00000321117
2	Ensembl	gene	25246620	25246776	.	-	1	ENSG00000119772	ENST00000321117
2	Ensembl	gene	25246160	25246309	.	-	1	ENSG00000119772	ENST00000321117
2	Ensembl	gene	25246020	25246064	.	-	1	ENSG00000119772	ENST00000321117
2	Ensembl	gene	25245253	25245332	.	-	0	ENSG00000119772	ENST00000321117
2	Ensembl	gene	25244540	25244652	.	-	2	ENSG00000119772	ENST00000321117
2	Ensembl	gene	25244155	25244338	.	-	0	ENSG00000119772	ENST00000321117
2	Ensembl	gene	25243898	25243982	.	-	1	ENSG00000119772	ENST00000321117
2	Ensembl	gene	25241562	25241707	.	-	0	ENSG00000119772	ENST00000321117
2	Ensembl	gene	25240640	25240730	.	-	1	ENSG00000119772	ENST00000321117
2	Ensembl	gene	25240302	25240450	.	-	0	ENSG00000119772	ENST00000321117
2	Ensembl	gene	25239130	25239215	.	-	2	ENSG00000119772	ENST00000321117
2	Ensembl	gene	25236936	25237005	.	-	0	ENSG00000119772	ENST00000321117
2	Ensembl	gene	25235707	25235825	.	-	2	ENSG00000119772	ENST00000321117
2	Ensembl	gene	25232976	25234420	.	-	.	ENSG00000119772	ENST00000321117
2	Ensembl	gene	25342430	25342489	.	-	.	ENSG00000119772	ENST00000380756
2	Ensembl	gene	25313913	25314161	.	-	0	ENSG00000119772	ENST00000380756
2	Ensembl	gene	25300139	25300243	.	-	0	ENSG00000119772	ENST00000380756
2	Ensembl	gene	25282441	25282711	.	-	1	ENSG00000119772	ENST00000380756
2	Ensembl	gene	25275500	25275543	.	-	0	ENSG00000119772	ENST00000380756
2	Ensembl	gene	25274941	25275087	.	-	0	ENSG00000119772	ENST00000380756
2	Ensembl	gene	25248037	25248252	.	-	0	ENSG00000119772	ENST00000380756
2	Ensembl	gene	25247591	25247749	.	-	0	ENSG00000119772	ENST00000380756
2	Ensembl	gene	25247051	25247158	.	-	0	ENSG00000119772	ENST00000380756
2	Ensembl	gene	25246620	25246776	.	-	1	ENSG00000119772	ENST00000380756
2	Ensembl	gene	25246160	25246309	.	-	1	ENSG00000119772	ENST00000380756
2	Ensembl	gene	25246020	25246064	.	-	1	ENSG00000119772	ENST00000380756
2	Ensembl	gene	25245253	25245332	.	-	0	ENSG00000119772	ENST00000380756
2	Ensembl	gene	25244540	25244652	.	-	2	ENSG00000119772	ENST00000380756
2	Ensembl	gene	25244155	25244338	.	-	0	ENSG00000119772	ENST00000380756
2	Ensembl	gene	25243898	25243982	.	-	1	ENSG00000119772	ENST00000380756
2	Ensembl	gene	25241562	25241707	.	-	0	ENSG00000119772	ENST00000380756
2	Ensembl	gene	25240640	25240730	.	-	1	ENSG00000119772	ENST00000380756
2	Ensembl	gene	25240302	25240450	.	-	0	ENSG00000119772	ENST00000380756
2	Ensembl	gene	25239315	25239513	.	-	.	ENSG00000119772	ENST00000380756
2	Ensembl	gene	25239130	25239215	.	-	.	ENSG00000119772	ENST00000380756
2	Ensembl	gene	25236936	25237005	.	-	.	ENSG00000119772	ENST00000380756
2	Ensembl	gene	25235707	25235825	.	-	.	ENSG00000119772	ENST00000380756
2	Ensembl	gene	25232977	25234420	.	-	.	ENSG00000119772	ENST00000380756
2	Ensembl	gene	25252194	25252311	.	-	.	ENSG00000119772	ENST00000402667
2	Ensembl	gene	25248037	25248252	.	-	0	ENSG00000119772	ENST00000402667
2	Ensembl	gene	25247591	25247749	.	-	0	ENSG00000119772	ENST00000402667
2	Ensembl	gene	25247051	25247158	.	-	0	ENSG00000119772	ENST00000402667
2	Ensembl	gene	25246620	25246776	.	-	1	ENSG00000119772	ENST00000402667
2	Ensembl	gene	25246160	25246309	.	-	1	ENSG00000119772	ENST00000402667
2	Ensembl	gene	25246020	25246064	.	-	1	ENSG00000119772	ENST00000402667
2	Ensembl	gene	25245253	25245332	.	-	0	ENSG00000119772	ENST00000402667
2	Ensembl	gene	25244540	25244652	.	-	2	ENSG00000119772	ENST00000402667
2	Ensembl	gene	25244155	25244338	.	-	0	ENSG00000119772	ENST00000402667
2	Ensembl	gene	25243898	25243982	.	-	1	ENSG00000119772	ENST00000402667
2	Ensembl	gene	25241562	25241707	.	-	0	ENSG00000119772	ENST00000402667
2	Ensembl	gene	25240640	25240730	.	-	1	ENSG00000119772	ENST00000402667
2	Ensembl	gene	25240302	25240450	.	-	0	ENSG00000119772	ENST00000402667
2	Ensembl	gene	25239130	25239215	.	-	2	ENSG00000119772	ENST00000402667
2	Ensembl	gene	25236936	25237005	.	-	0	ENSG00000119772	ENST00000402667
2	Ensembl	gene	25235707	25235825	.	-	2	ENSG00000119772	ENST00000402667
2	Ensembl	gene	25234197	25234420	.	-	.	ENSG00000119772	ENST00000402667
2	Ensembl	gene	25244155	25244324	.	-	.	ENSG00000119772	ENST00000474887
2	Ensembl	gene	25243898	25243982	.	-	.	ENSG00000119772	ENST00000474887
2	Ensembl	gene	25241562	25241707	.	-	.	ENSG00000119772	ENST00000474887
2	Ensembl	gene	25240640	25240730	.	-	.	ENSG00000119772	ENST00000474887
2	Ensembl	gene	25240302	25240450	.	-	.	ENSG00000119772	ENST00000474887
2	Ensembl	gene	25239130	25239215	.	-	.	ENSG00000119772	ENST00000474887
2	Ensembl	gene	25235706	25235825	.	-	.	ENSG00000119772	ENST00000474887
2	Ensembl	gene	25243898	25243979	.	-	.	ENSG00000119772	ENST00000482935
2	Ensembl	gene	25240640	25240730	.	-	.	ENSG00000119772	ENST00000482935
2	Ensembl	gene	25240302	25240450	.	-	.	ENSG00000119772	ENST00000482935
2	Ensembl	gene	25239130	25239215	.	-	.	ENSG00000119772	ENST00000482935
2	Ensembl	gene	25236936	25237005	.	-	.	ENSG00000119772	ENST00000482935
2	Ensembl	gene	25235785	25235825	.	-	.	ENSG00000119772	ENST00000482935
2	Ensembl	gene	25243898	25243970	.	-	.	ENSG00000119772	ENST00000491288
2	Ensembl	gene	25241562	25241707	.	-	.	ENSG00000119772	ENST00000491288
2	Ensembl	gene	25240640	25240730	.	-	.	ENSG00000119772	ENST00000491288
2	Ensembl	gene	25239130	25239215	.	-	.	ENSG00000119772	ENST00000491288
2	Ensembl	gene	25236930	25237005	.	-	.	ENSG00000119772	ENST00000491288
2	Ensembl	gene	25241562	25242015	.	-	.	ENSG00000119772	ENST00000466601
2	Ensembl	gene	25240640	25240730	.	-	.	ENSG00000119772	ENST00000466601
2	Ensembl	gene	25240302	25240450	.	-	.	ENSG00000119772	ENST00000466601
2	Ensembl	gene	25239130	25239215	.	-	.	ENSG00000119772	ENST00000466601
2	Ensembl	gene	25236974	25237005	.	-	.	ENSG00000119772	ENST00000466601
2	Ensembl	gene	25243898	25243982	.	-	.	ENSG00000119772	ENST00000461228
2	Ensembl	gene	25241562	25241777	.	-	.	ENSG00000119772	ENST00000461228
2	Ensembl	gene	25240640	25240730	.	-	.	ENSG00000119772	ENST00000461228
2	Ensembl	gene	25240302	25240450	.	-	.	ENSG00000119772	ENST00000461228
2	Ensembl	gene	25239176	25239215	.	-	.	ENSG00000119772	ENST00000461228
2	Ensembl	gene	25247591	25247899	.	-	.	ENSG00000119772	ENST00000474807
2	Ensembl	gene	25247051	25247158	.	-	.	ENSG00000119772	ENST00000474807
2	Ensembl	gene	25246620	25246776	.	-	.	ENSG00000119772	ENST00000474807
2	Ensembl	gene	25246160	25246309	.	-	.	ENSG00000119772	ENST00000474807
2	Ensembl	gene	25246020	25246064	.	-	.	ENSG00000119772	ENST00000474807
2	Ensembl	gene	25245262	25245332	.	-	.	ENSG00000119772	ENST00000474807
2	Ensembl	gene	25247051	25247566	.	-	.	ENSG00000119772	ENST00000484184
2	Ensembl	gene	25246674	25246776	.	-	.	ENSG00000119772	ENST00000484184
2	Ensembl	gene	25249618	25249703	.	-	.	ENSG00000119772	ENST00000470983
2	Ensembl	gene	25248037	25248252	.	-	.	ENSG00000119772	ENST00000470983
2	Ensembl	gene	25247591	25247749	.	-	.	ENSG00000119772	ENST00000470983
2	Ensembl	gene	25247051	25247158	.	-	.	ENSG00000119772	ENST00000470983
2	Ensembl	gene	25246757	25246776	.	-	.	ENSG00000119772	ENST00000470983
2	Ensembl	gene	25251912	25252083	.	-	.	ENSG00000119772	ENST00000496570
2	Ensembl	gene	25248037	25248252	.	-	.	ENSG00000119772	ENST00000496570
2	Ensembl	gene	25247591	25247749	.	-	.	ENSG00000119772	ENST00000496570
2	Ensembl	gene	25247050	25247158	.	-	.	ENSG00000119772	ENST00000496570
2	Ensembl	gene	25342430	25342590	.	-	.	ENSG00000119772	ENST00000406659
2	Ensembl	gene	25313913	25314161	.	-	0	ENSG00000119772	ENST00000406659
2	Ensembl	gene	25300139	25300243	.	-	0	ENSG00000119772	ENST00000406659
2	Ensembl	gene	25281452	25282711	.	-	.	ENSG00000119772	ENST00000406659
2	Ensembl	gene	25328633	25328744	.	-	.	ENSG00000221445	ENST00000408518
